Symbol,Name,Last,High,Low,Chg.,Chg. %,Time
US30,Dow Jones,"43,433.12","43,866.50","43,318.93",-188.04,-0.43%,26/02
SPX500,S&P 500,"5,956.06","6,009.82","5,932.69",0.81,0.01%,26/02
NAS100,Nasdaq,"19,075.26","19,286.02","18,966.46",48.88,0.26%,26/02
,Small Cap 2000,"2,174.17","2,199.92","2,166.86",4.09,0.19%,26/02
,S&P 500 VIX,19.10,20.06,17.83,0.00,0.00%,26/02
,S&P/TSX,"25,328.36","25,441.73","25,208.66",124.38,0.49%,26/02
,Bovespa,"124,769","126,563","124,732","-1,211",-0.96%,26/02
,S&P/BMV IPC,"53,296.71","53,475.74","52,830.83",246.38,0.46%,26/02
,MSCI World,"3,820.97","3,821.79","3,819.09",-0.07,0.00%,02:13:00
GER40,DAX,"22,794.11","22,833.25","22,554.37",383.84,1.71%,26/02
UK100,FTSE 100,"8,731.46","8,738.28","8,668.67",62.79,0.72%,26/02
FRA40,CAC 40,"8,143.92","8,169.35","8,084.05",92.85,1.15%,26/02
EUSTX50,Euro Stoxx 50,"5,530.55","5,534.05","5,474.85",78.00,1.43%,26/02
,AEX,932.09,932.89,927.23,2.31,0.25%,26/02
ESP35,IBEX 35,"13,332.00","13,339.70","13,126.90",215.20,1.64%,26/02
,FTSE MIB,"39,224.71","39,251.82","38,798.41",510.19,1.32%,26/02
,SMI,"13,039.46","13,100.22","12,993.65",14.45,0.11%,26/02
,PSI,"6,988.33","6,990.23","6,902.05",69.34,1.00%,26/02
,BEL 20,"4,476.06","4,484.42","4,446.11",77.26,1.76%,26/02
,ATX,"4,229.96","4,229.96","4,045.59",121.44,2.96%,26/02
,OMXS30,"2,762.50","2,764.33","2,739.43",37.78,1.39%,26/02
,OMXC25,"1,867.59","1,876.06","1,858.61",7.57,0.41%,26/02
,MOEX Russia Index,"3,248.49","3,250.45","3,236.51",-27.51,-0.84%,02:13:12
,RTSI,"1,190.93","1,195.98","1,186.54",-10.09,-0.84%,02:13:12
,WIG20,"2,620.35","2,620.35","2,591.88",48.30,1.88%,26/02
,Budapest SE,"87,725.81","87,983.41","86,261.96","1,463.09",1.70%,26/02
,BIST 100,"9,565.61","9,565.61","9,565.61",-7.60,-0.08%,01:58:15
,TA 35,"2,471.97","2,481.20","2,457.63",11.06,0.45%,26/02
,Tadawul All Share,"12,232.65","12,315.84","12,199.92",-68.58,-0.56%,26/02
JPN225,Nikkei 225,"38,262.00","38,378.00","38,058.50",113.50,0.30%,01:30:29
AUS200,S&P/ASX 200,"8,268.20","8,300.00","8,240.70",27.50,0.33%,00:04:59
,DJ New Zealand,367.38,369.01,366.23,1.50,0.41%,26/02
,Shanghai,"3,387.39","3,388.78","3,353.57",7.18,0.21%,01:32:42
,SZSE Component,"10,878.65","10,999.48","10,792.08",-77.00,-0.70%,01:17:54
,China A50,"13,365.17","13,384.28","13,285.48",72.07,0.54%,01:17:42
,DJ Shanghai,471.02,471.78,466.10,0.50,0.11%,01:33:05
,Hang Seng,"23,665.75","24,074.00","23,449.00",-122.18,-0.51%,02:13:17
,Taiwan Weighted,"23,285.72","23,376.42","23,209.53",-279.59,-1.19%,25/02
,SET,"1,219.64","1,235.11","1,216.64",-11.50,-0.93%,01:58:06
,KOSPI,"2,621.75","2,638.47","2,610.47",-19.34,-0.73%,01:29:59
,IDX Composite,"6,463.15","6,626.26","6,443.22",-143.03,-2.17%,02:03:18
,Nifty 50,"22,526.80","22,613.30","22,516.15",-20.75,-0.09%,02:13:17
,BSE Sensex,"74,601.16","74,834.09","74,556.41",-0.96,0.00%,01:58:18
,PSEi Composite,"6,127.80","6,168.83","6,124.53",-17.16,-0.28%,01:16:00
,Karachi 100,"114,383.50","114,456.92","113,878.23",521.18,0.46%,01:58:00
,VN 30,"1,358.51","1,364.27","1,351.05",-2.05,-0.15%,02:13:19
